model,strategy,warm_start,role,dataset,iteration,accuracy_mean,accuracy_sem,n_seeds
deep_gp,entropy_batch,warm,al,static_random,1,0.944224,0.001018,5
deep_gp,entropy_batch,warm,al,static_random,2,0.947722,0.001283,5
deep_gp,entropy_batch,warm,al,static_random,3,0.950694,0.000537,5
deep_gp,entropy_batch,warm,al,static_random,4,0.953724,0.000919,5
deep_gp,entropy_batch,warm,al,static_random,5,0.955900,0.000426,5
deep_gp,entropy_batch,warm,al,static_random,6,0.957786,0.000576,5
deep_gp,entropy_batch,warm,al,static_random,7,0.960114,0.000460,5
deep_gp,entropy_batch,warm,al,static_random,8,0.961628,0.000544,5
deep_gp,entropy_batch,warm,al,static_random,9,0.962680,0.000634,5
deep_gp,entropy_batch,warm,al,static_random,10,0.963534,0.000726,5
deep_gp,entropy_batch,warm,al,static_random,11,0.965568,0.000498,5
deep_gp,entropy_batch,warm,al,static_random,12,0.966976,0.000654,5
deep_gp,entropy_batch,warm,al,static_random,13,0.967954,0.000672,5
deep_gp,entropy_batch,warm,al,static_random,14,0.968886,0.000724,5
deep_gp,entropy_batch,warm,al,static_random,15,0.970128,0.000755,5
deep_gp,entropy_batch,warm,al,static_random,16,0.971022,0.000677,5
deep_gp,entropy_batch,warm,al,static_random,17,0.971348,0.000724,5
deep_gp,entropy_batch,warm,al,static_random,18,0.972300,0.000611,5
deep_gp,entropy_batch,warm,al,static_random,19,0.973372,0.000412,5
deep_gp,entropy_batch,warm,al,static_random,20,0.973852,0.000325,5
deep_gp,entropy_batch,warm,al,static_random,21,0.974022,0.000302,5
deep_gp,entropy_batch,warm,al,static_random,22,0.974982,0.000354,5
deep_gp,entropy_batch,warm,al,static_random,23,0.975012,0.000358,5
deep_gp,entropy_batch,warm,al,static_random,24,0.975318,0.000329,5
deep_gp,entropy_batch,warm,al,static_random,25,0.975936,0.000458,5
deep_gp,entropy_batch,warm,al,static_random,26,0.976090,0.000501,5
deep_gp,entropy_batch,warm,al,static_random,27,0.976642,0.000353,5
deep_gp,entropy_batch,warm,al,static_random,28,0.977120,0.000320,5
deep_gp,entropy_batch,warm,al,static_random,29,0.977438,0.000484,5
deep_gp,entropy_batch,warm,al,static_random,30,0.977500,0.000384,5
deep_gp,entropy_batch,warm,al,static_random,31,0.977842,0.000437,5
deep_gp,entropy_batch,warm,al,static_random,32,0.977762,0.000346,5
deep_gp,entropy_batch,warm,al,static_random,33,0.978324,0.000407,5
deep_gp,entropy_batch,warm,al,static_random,34,0.978620,0.000352,5
deep_gp,entropy_batch,warm,al,static_random,35,0.978730,0.000387,5
deep_gp,entropy_batch,warm,al,static_random,36,0.978982,0.000499,5
deep_gp,entropy_batch,warm,al,static_random,37,0.979256,0.000459,5
deep_gp,entropy_batch,warm,al,static_random,38,0.979244,0.000553,5
deep_gp,entropy_batch,warm,al,static_random,39,0.979434,0.000470,5
deep_gp,entropy_batch,warm,al,static_random,40,0.979404,0.000416,5
deep_gp,entropy_batch,warm,al,static_random,41,0.979460,0.001036,5
deep_gp,entropy_batch,warm,al,static_random,42,0.979526,0.000925,5
deep_gp,entropy_batch,warm,al,static_random,43,0.979940,0.000999,5
deep_gp,entropy_batch,warm,al,static_random,44,0.980058,0.000969,5
deep_gp,entropy_batch,warm,al,static_random,45,0.979942,0.000820,5
deep_gp,entropy_batch,warm,al,static_random,46,0.980302,0.000844,5
deep_gp,entropy_batch,warm,al,static_random,47,0.980194,0.001011,5
deep_gp,entropy_batch,warm,al,static_random,48,0.980556,0.000918,5
deep_gp,entropy_batch,warm,al,static_random,49,0.980428,0.000975,5
deep_gp,entropy_batch,warm,al,static_random,50,0.980816,0.000972,5
deep_gp,entropy_batch,warm,al,static_random,51,0.980874,0.000925,5
deep_gp,entropy_batch,warm,al,static_random,52,0.980832,0.000907,5
deep_gp,entropy_batch,warm,al,static_random,53,0.980892,0.001014,5
deep_gp,entropy_batch,warm,al,static_random,54,0.981040,0.000975,5
deep_gp,entropy_batch,warm,al,static_random,55,0.980954,0.000995,5
deep_gp,entropy_batch,warm,al,static_random,56,0.980216,0.001882,5
deep_gp,entropy_batch,warm,al,static_random,57,0.980276,0.001705,5
deep_gp,entropy_batch,warm,al,static_random,58,0.980596,0.001778,5
deep_gp,entropy_batch,warm,al,static_random,59,0.980098,0.001754,5
deep_gp,entropy_batch,warm,al,static_random,60,0.980872,0.001449,5
deep_gp,entropy_batch,warm,al,static_random,61,0.981062,0.001378,5
deep_gp,entropy_batch,warm,al,static_random,62,0.981004,0.001449,5
deep_gp,entropy_batch,warm,al,static_random,63,0.981358,0.001185,5
deep_gp,entropy_batch,warm,al,static_random,64,0.981192,0.001138,5
deep_gp,entropy_batch,warm,al,static_random,65,0.981476,0.001154,5
deep_gp,entropy_batch,warm,al,static_random,66,0.981190,0.001322,5
deep_gp,entropy_batch,warm,al,static_random,67,0.981290,0.001212,5
deep_gp,entropy_batch,warm,al,static_random,68,0.981522,0.001071,5
deep_gp,entropy_batch,warm,al,static_random,69,0.981818,0.001058,5
deep_gp,entropy_batch,warm,al,static_random,70,0.981802,0.001113,5
deep_gp,entropy_batch,warm,al,static_random,71,0.981874,0.001060,5
deep_gp,entropy_batch,warm,al,static_random,72,0.981900,0.001014,5
deep_gp,entropy_batch,warm,al,static_random,73,0.982066,0.000919,5
deep_gp,entropy_batch,warm,al,static_random,74,0.982054,0.001068,5
deep_gp,entropy_batch,warm,al,static_random,75,0.982004,0.001030,5
deep_gp,entropy_batch,warm,al,static_random,76,0.982014,0.001089,5
deep_gp,entropy_batch,warm,al,static_random,77,0.982094,0.001112,5
deep_gp,entropy_batch,warm,al,static_random,78,0.982492,0.000870,5
deep_gp,entropy_batch,warm,al,static_random,79,0.982140,0.001017,5
deep_gp,entropy_batch,warm,al,static_random,80,0.982124,0.000923,5
deep_gp,entropy_batch,warm,al,static_random,81,0.982126,0.000999,5
deep_gp,entropy_batch,warm,al,static_random,82,0.982542,0.000873,5
deep_gp,entropy_batch,warm,al,static_random,83,0.982334,0.001030,5
deep_gp,entropy_batch,warm,al,static_random,84,0.982436,0.001001,5
deep_gp,entropy_batch,warm,al,static_random,85,0.982056,0.001095,5
deep_gp,entropy_batch,warm,al,static_random,86,0.982446,0.000914,5
