model,strategy,warm_start,role,dataset,iteration,accuracy_mean,accuracy_sem,n_seeds
deep_gp_expr,entropy_batch,warm,al,static_random,1,0.822892,0.001796,5
deep_gp_expr,entropy_batch,warm,al,static_random,2,0.828660,0.001482,5
deep_gp_expr,entropy_batch,warm,al,static_random,3,0.833290,0.001860,5
deep_gp_expr,entropy_batch,warm,al,static_random,4,0.836502,0.001645,5
deep_gp_expr,entropy_batch,warm,al,static_random,5,0.840242,0.001207,5
deep_gp_expr,entropy_batch,warm,al,static_random,6,0.843996,0.000696,5
deep_gp_expr,entropy_batch,warm,al,static_random,7,0.846228,0.000940,5
deep_gp_expr,entropy_batch,warm,al,static_random,8,0.848954,0.000856,5
deep_gp_expr,entropy_batch,warm,al,static_random,9,0.851450,0.001019,5
deep_gp_expr,entropy_batch,warm,al,static_random,10,0.852962,0.001157,5
deep_gp_expr,entropy_batch,warm,al,static_random,11,0.855358,0.000872,5
deep_gp_expr,entropy_batch,warm,al,static_random,12,0.856880,0.001026,5
deep_gp_expr,entropy_batch,warm,al,static_random,13,0.857382,0.001163,5
deep_gp_expr,entropy_batch,warm,al,static_random,14,0.859600,0.000924,5
deep_gp_expr,entropy_batch,warm,al,static_random,15,0.860526,0.001085,5
deep_gp_expr,entropy_batch,warm,al,static_random,16,0.861140,0.001073,5
deep_gp_expr,entropy_batch,warm,al,static_random,17,0.862168,0.001174,5
deep_gp_expr,entropy_batch,warm,al,static_random,18,0.863362,0.001007,5
deep_gp_expr,entropy_batch,warm,al,static_random,19,0.864468,0.001279,5
deep_gp_expr,entropy_batch,warm,al,static_random,20,0.865374,0.001285,5
deep_gp_expr,entropy_batch,warm,al,static_random,21,0.866014,0.001513,5
deep_gp_expr,entropy_batch,warm,al,static_random,22,0.867060,0.001431,5
deep_gp_expr,entropy_batch,warm,al,static_random,23,0.868596,0.001522,5
deep_gp_expr,entropy_batch,warm,al,static_random,24,0.868894,0.001678,5
deep_gp_expr,entropy_batch,warm,al,static_random,25,0.869490,0.001422,5
deep_gp_expr,entropy_batch,warm,al,static_random,26,0.870586,0.001304,5
deep_gp_expr,entropy_batch,warm,al,static_random,27,0.871924,0.001155,5
deep_gp_expr,entropy_batch,warm,al,static_random,28,0.872018,0.001189,5
deep_gp_expr,entropy_batch,warm,al,static_random,29,0.872512,0.001455,5
deep_gp_expr,entropy_batch,warm,al,static_random,30,0.873744,0.001654,5
deep_gp_expr,entropy_batch,warm,al,static_random,31,0.873816,0.001336,5
deep_gp_expr,entropy_batch,warm,al,static_random,32,0.874610,0.001109,5
deep_gp_expr,entropy_batch,warm,al,static_random,33,0.875042,0.001012,5
deep_gp_expr,entropy_batch,warm,al,static_random,34,0.875140,0.001194,5
deep_gp_expr,entropy_batch,warm,al,static_random,35,0.876472,0.000892,5
deep_gp_expr,entropy_batch,warm,al,static_random,36,0.876324,0.000881,5
deep_gp_expr,entropy_batch,warm,al,static_random,37,0.876830,0.000924,5
deep_gp_expr,entropy_batch,warm,al,static_random,38,0.877574,0.001042,5
deep_gp_expr,entropy_batch,warm,al,static_random,39,0.877966,0.001356,5
deep_gp_expr,entropy_batch,warm,al,static_random,40,0.878130,0.001118,5
deep_gp_expr,entropy_batch,warm,al,static_random,41,0.883580,,1
deep_gp_expr,entropy_batch,warm,al,static_random,42,0.883990,,1
deep_gp_expr,entropy_batch,warm,al,static_random,43,0.885200,,1
deep_gp_expr,entropy_batch,warm,al,static_random,44,0.886650,,1
deep_gp_expr,entropy_batch,warm,al,static_random,45,0.886740,,1
deep_gp_expr,entropy_batch,warm,al,static_random,46,0.886990,,1
deep_gp_expr,entropy_batch,warm,al,static_random,47,0.887640,,1
deep_gp_expr,entropy_batch,warm,al,static_random,48,0.887980,,1
deep_gp_expr,entropy_batch,warm,al,static_random,49,0.888900,,1
deep_gp_expr,entropy_batch,warm,al,static_random,50,0.889120,,1
deep_gp_expr,entropy_batch,warm,al,static_random,51,0.887330,,1
deep_gp_expr,entropy_batch,warm,al,static_random,52,0.889880,,1
deep_gp_expr,entropy_batch,warm,al,static_random,53,0.887880,,1
deep_gp_expr,entropy_batch,warm,al,static_random,54,0.888950,,1
deep_gp_expr,entropy_batch,warm,al,static_random,55,0.890280,,1
deep_gp_expr,entropy_batch,warm,al,static_random,56,0.890570,,1
deep_gp_expr,entropy_batch,warm,al,static_random,57,0.890860,,1
deep_gp_expr,entropy_batch,warm,al,static_random,58,0.889740,,1
deep_gp_expr,entropy_batch,warm,al,static_random,59,0.891110,,1
deep_gp_expr,entropy_batch,warm,al,static_random,60,0.889450,,1
deep_gp_expr,entropy_batch,warm,al,static_random,61,0.891640,,1
deep_gp_expr,entropy_batch,warm,al,static_random,62,0.891170,,1
deep_gp_expr,entropy_batch,warm,al,static_random,63,0.890650,,1
deep_gp_expr,entropy_batch,warm,al,static_random,64,0.892360,,1
deep_gp_expr,entropy_batch,warm,al,static_random,65,0.892960,,1
deep_gp_expr,entropy_batch,warm,al,static_random,66,0.892450,,1
deep_gp_expr,entropy_batch,warm,al,static_random,67,0.893210,,1
deep_gp_expr,entropy_batch,warm,al,static_random,68,0.892520,,1
deep_gp_expr,entropy_batch,warm,al,static_random,69,0.892570,,1
deep_gp_expr,entropy_batch,warm,al,static_random,70,0.893560,,1
deep_gp_expr,entropy_batch,warm,al,static_random,71,0.892350,,1
deep_gp_expr,entropy_batch,warm,al,static_random,72,0.894540,,1
deep_gp_expr,entropy_batch,warm,al,static_random,73,0.893380,,1
deep_gp_expr,entropy_batch,warm,al,static_random,74,0.893230,,1
deep_gp_expr,entropy_batch,warm,al,static_random,75,0.893170,,1
deep_gp_expr,entropy_batch,warm,al,static_random,76,0.892770,,1
deep_gp_expr,entropy_batch,warm,al,static_random,77,0.893170,,1
deep_gp_expr,entropy_batch,warm,al,static_random,78,0.893340,,1
deep_gp_expr,entropy_batch,warm,al,static_random,79,0.893880,,1
deep_gp_expr,entropy_batch,warm,al,static_random,80,0.895890,,1
deep_gp_expr,entropy_batch,warm,al,static_random,81,0.893990,,1
deep_gp_expr,entropy_batch,warm,al,static_random,82,0.894340,,1
deep_gp_expr,entropy_batch,warm,al,static_random,83,0.894040,,1
deep_gp_expr,entropy_batch,warm,al,static_random,84,0.895230,,1
deep_gp_expr,entropy_batch,warm,al,static_random,85,0.894150,,1
deep_gp_expr,entropy_batch,warm,al,static_random,86,0.894610,,1
deep_gp_expr,entropy_batch,warm,al,static_random,87,0.894940,,1
deep_gp_expr,entropy_batch,warm,al,static_random,88,0.894770,,1
deep_gp_expr,entropy_batch,warm,al,static_random,89,0.894330,,1
deep_gp_expr,entropy_batch,warm,al,static_random,90,0.893820,,1
deep_gp_expr,entropy_batch,warm,al,static_random,91,0.894830,,1
deep_gp_expr,entropy_batch,warm,al,static_random,92,0.894880,,1
deep_gp_expr,entropy_batch,warm,al,static_random,93,0.893510,,1
deep_gp_expr,entropy_batch,warm,al,static_random,94,0.893450,,1
deep_gp_expr,entropy_batch,warm,al,static_random,95,0.895610,,1
deep_gp_expr,entropy_batch,warm,al,static_random,96,0.894680,,1
deep_gp_expr,entropy_batch,warm,al,static_random,97,0.894400,,1
deep_gp_expr,entropy_batch,warm,al,static_random,98,0.895150,,1
deep_gp_expr,entropy_batch,warm,al,static_random,99,0.895140,,1
deep_gp_expr,entropy_batch,warm,al,static_random,100,0.894660,,1
deep_gp_expr,entropy_batch,warm,al,static_random,101,0.894910,,1
deep_gp_expr,entropy_batch,warm,al,static_random,102,0.894910,,1
deep_gp_expr,entropy_batch,warm,al,static_random,103,0.896330,,1
deep_gp_expr,entropy_batch,warm,al,static_random,104,0.893770,,1
deep_gp_expr,entropy_batch,warm,al,static_random,105,0.893300,,1
deep_gp_expr,entropy_batch,warm,al,static_random,106,0.894110,,1
deep_gp_expr,entropy_batch,warm,al,static_random,107,0.894300,,1
deep_gp_expr,entropy_batch,warm,al,static_random,108,0.895920,,1
deep_gp_expr,entropy_batch,warm,al,static_random,109,0.894210,,1
deep_gp_expr,entropy_batch,warm,al,static_random,110,0.894070,,1
deep_gp_expr,entropy_batch,warm,al,static_random,111,0.892850,,1
deep_gp_expr,entropy_batch,warm,al,static_random,112,0.894220,,1
deep_gp_expr,entropy_batch,warm,al,static_random,113,0.893770,,1
deep_gp_expr,entropy_batch,warm,al,static_random,114,0.895210,,1
deep_gp_expr,entropy_batch,warm,al,static_random,115,0.894660,,1
deep_gp_expr,entropy_batch,warm,al,static_random,116,0.895040,,1
deep_gp_expr,entropy_batch,warm,al,static_random,117,0.894520,,1
deep_gp_expr,entropy_batch,warm,al,static_random,118,0.893190,,1
deep_gp_expr,entropy_batch,warm,al,static_random,119,0.894090,,1
deep_gp_expr,entropy_batch,warm,al,static_random,120,0.893450,,1
deep_gp_expr,entropy_batch,warm,al,static_random,121,0.894220,,1
deep_gp_expr,entropy_batch,warm,al,static_random,122,0.892650,,1
deep_gp_expr,entropy_batch,warm,al,static_random,123,0.890480,,1
deep_gp_expr,entropy_batch,warm,al,static_random,124,0.889050,,1
